reason,mob_name,item_name,resolved_mob_ids,resolved_item_ids,note
mob_missing,Chavez Commander Sergio Medina,Banded Hawk,,2632,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,Communications Array,,6048,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,Cygnus NGC 8,,3324,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,"DV-EN-X3 ""GreaseMonkey"" Mk. VIII",,2347,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,Lepus Major IFSS 8,,2401,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,ML-X10 EMP Missile,,717,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,Phoenix Major BTE 8,,2404,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,Sensor-Reflective Plating,,6050,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Sergio Medina,Telescopium Major BISR 8,,2410,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,Banded Hawk,,2632,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,Communications Array,,6048,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,Cygnus NGC 8,,3324,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,"DV-EN-X3 ""GreaseMonkey"" Mk. VIII",,2347,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,ML-X10 EMP Missile,,717,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,No 1 Most Jolting EMP Beam AA,,1131,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,Phoenix Major BTE 8,,2404,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,Sensor-Reflective Plating,,6050,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez Commander Victor Rodriguez,Telescopium Major BISR 8,,2410,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez General Hugo Valdez,Crimson MegaHurtz,,2325,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Chavez General Hugo Valdez,Jade MegaHurtz,,2324,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Cologne Class Destroyer,Small Solar Panel,,1291,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Commander Basilica Hands,Black Force IX,,6128,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Commander Basilica Hands,Black Force VIII,,6131,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Commander Basilica Hands,Black Peg Leg IX,,6135,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Commander Basilica Hands,Black Peg Leg VIII,,6173,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Communications Array SDX,Command Interface DK 8,,6450,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Communications Array SDX,"DV-IR-X5 ""Tower"" Mk. IX",,2457,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Corpril Ableson,Glop 'n Saws,1892,,item name not in item_base -- needs a Phase Y7 item_base row
item_missing,Corpril Ableson,Junior Malik,1892,,item name not in item_base -- needs a Phase Y7 item_base row
item_missing,Corpril Ableson,Sticks and Stones,1892,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Corrupted Bullyeye,Dense Bullywere Chitin,,5358,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Craxel,BlackBox G12,,1273,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Crystaline Beta,Fornax Borealis Minor RE 5,,2115,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Crystalline Architect,Crystalline Schematic,,6430,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,D3SC3PL24F1M1H,1M1HSP13N,,2821,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Dai Dai Lo Initaite Red Dragon,CE3K Eruption II,,1444,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Dai Lo Veteran Red Dragon,Nebula Smart 8 LS Processor Structure,314,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Devil Dish,Glamour Goo,,3972,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Dzurai Spawn,"PL-X1 ""Switchblade"" Mk. II",,3043,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,EarthCorps Tigershark Fighter,Yumm-O Beer,,5000,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Earthcorps Tigershark Class Fighte,Not Weak Shield Model X,,3635,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Einherjar Skulk,Berserk Rounds,445,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Einjahar Skald,Roaring Lion,,1077,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraged Ascendant Voltoi,Imbued Synthesized Crystal,,3952,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraged Ascentdant Voltoi,Imbued Synthesized Crystal,,3952,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Bogeril Fragment 1,,4021,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Bogeril Fragment 2,,4022,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Bogeril Fragment 3,,4023,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Bogeril Fragment 4,,4024,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Bogeril Fragment 5,,4025,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Manifesto Fragment 1,,5097,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Manifesto Fragment 2,,5098,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Enraptured Bogeril Elder,Manifesto Fragment 5,,5101,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Etherial Defender,Explorer's Force,,3348,mob name not in mob_base -- needs a Phase Y6 mob_base row
both_missing,Evil Snowman,Stolen Candy Cane,,,neither name resolves -- needs both mob_base and item_base rows
both_missing,Evil Snowman,Stolen Present,,,neither name resolves -- needs both mob_base and item_base rows
item_missing,Fat Platy,Basic Eye Stalk,488,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Festive Gourd,Eyeball Popper,,1792,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Fledgeling Grek,Grek Hide,,4034,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Flickering Voltai Deviant,Pleiades LGS 7,,3305,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer,"CE-X5 ""Welsh"" Mk. VI",,2595,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Patriarch,Badger's Claw L9,,6393,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Patriarch,"CE-X8 ""Apaloosa"" Mk. VII",,2609,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Patriarch,Most Becoming Class 2 Shield,,3728,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Patriarch,"RE-X9 ""Supernova"" Mk. VIII",,3319,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Patriarch,Ursa NGC 7,,2610,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Patriarch,Warrior's Pride Gamma,,3323,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Free Spacer Protector & Sentinel,Hunting Falcon,,2591,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Frenzied Hippocampus Mutant,Bill Henderson,548,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Frost Drake,Icy Spine,,5709,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Fuijan Freighter II Red Dragon,Gazing Eye,,1814,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Fujian Freighter III Red Dragon,Porcelain Dog Figurine,,5595,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gelatinous Ceelite,Brimstone Z2 Anvil,,1626,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gelatinous Ceelite,"DV-PSI-X2 ""Profiler"" Mk. VI",,2164,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gelatinous Ceelite,"DV-RW-X3 ""Quagmire"" Mk. VI",,2165,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gelatinous Ceelite,Hydra NGC 7,,1087,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gelatinous Ceelite,Ninja's Kama M7,,3137,mob name not in mob_base -- needs a Phase Y6 mob_base row
both_missing,Gelatinous Ceelite,Ninja's Kama Projectile Ammo,,,neither name resolves -- needs both mob_base and item_base rows
mob_missing,Gelatinous Ceelite,Orange Dragonfly Explosive Missile,,650,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gelatinous Ceelite,Orange Dragonfly M7,,2797,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,"Gelatinous Ceelite spawned from L8 Pop ""rocks""",Ninja's Kama M7,,3137,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ghost of Christmas Future,Ouija Board,,7184,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ghost of Christmas Past,Ouija Board,,7184,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ghost of Christmas Present,Ouija Board,,7184,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Great Mantichora,"RE-X7 ""Supergiant"" Mk. IV",,3228,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Grissom Space Patrol 4,Attacking Great Dane,,1104,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Grupta the Sander,Crystalline Aparatus,,2606,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Grupta the Sander,Vibrant Barrier,,2176,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gunner Morton,Black Speed IX,,6130,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Gunner Morton,Black Speed VIII,,6133,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hadean Hijacker,Quasar III MRB 7,,6411,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Armadillo Plate L9,,2432,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Basilisk's Dread Fury,,2416,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Cat's Paw L9,,2433,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Chameleon Skin L9,,2434,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Gorgon's Dread Glare,,2418,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Mah-jongg Tile IX,,6222,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hanger Bay,Mah-jongg Tile VIII,,6221,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Haywire Drone,Haywire's Circuit Breaker,,772,mob name not in mob_base -- needs a Phase Y6 mob_base row
item_missing,Hung Kwan Initiate Red Dragon,Fishbowl Raid,653,,item name not in item_base -- needs a Phase Y7 item_base row
item_missing,Hung Kwan Initiate Red Dragon,Tada-O Gate Raid,653,,item name not in item_base -- needs a Phase Y7 item_base row
mob_missing,Hung Kwan Novie Red Dragon,Harpy's Dire Avarice,,2225,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hyperia Explorer,Armadillo Plate L3,,1887,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hyperia Explorer,Cat's Paw L4,,1973,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hyperia Explorer,Chameleon Skin L4,,1974,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hyperia Explorer,Dolphin Tail L4,,1975,mob name not in mob_base -- needs a Phase Y6 mob_base row
both_missing,Hyperia Explorer,Harrier,,,neither name resolves -- needs both mob_base and item_base rows
mob_missing,Hyperia Explorer,Shark Fin L2,,1830,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Hyperia Explorer,Turtle Shell L3,,1896,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,"Infinity - Go Bot, Infinity - Short Circuit",Dull Warp Kaza,,1787,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,"Infinity - Go Bot, Infinity - Short Circuit",Warp Kaza,,1841,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Elite Guard,"DV-ER-X5 ""Heater"" Mk. IX",,2448,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Elite Guard,Laser Scope Novem,,2472,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Elite Guard,Mah-jongg Tile VIII,,6221,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Elite Guard,Sensor-Reflective Plating,,6050,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Fighter Escort,"DV-ER-X5 ""Heater"" Mk. IX",,2448,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Fighter Escort,"DV-RW-X5 ""Quagmire"" Mk. IX",,2453,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Fighter Escort,Harpy's Dread Gorge,,2419,mob name not in mob_base -- needs a Phase Y6 mob_base row
mob_missing,Ing Zhi Wong Fighter Escort,Mah-jongg Tile IX,,6222,mob name not in mob_base -- needs a Phase Y6 mob_base row
